twotheta, yobs, ycal, bkg, diff
1.118000e+001,5.610000e+002,5.576124e+002,5.569289e+002,3.387632e+000
1.119000e+001,5.630000e+002,5.572334e+002,5.565490e+002,5.766583e+000
1.120000e+001,5.480000e+002,5.568548e+002,5.561694e+002,-8.854753e+000
1.121000e+001,5.490000e+002,5.564764e+002,5.557901e+002,-7.476374e+000
1.122000e+001,6.020000e+002,5.560983e+002,5.554110e+002,4.590172e+001
1.123000e+001,6.090000e+002,5.557205e+002,5.550323e+002,5.327953e+001
1.124000e+001,5.710000e+002,5.553430e+002,5.546538e+002,1.565705e+001
1.125000e+001,5.710000e+002,5.549657e+002,5.542756e+002,1.603428e+001
1.126000e+001,5.210000e+002,5.545888e+002,5.538977e+002,-3.358877e+001
1.127000e+001,5.380000e+002,5.542121e+002,5.535201e+002,-1.621210e+001
1.128000e+001,5.370000e+002,5.538357e+002,5.531427e+002,-1.683572e+001
1.129000e+001,5.270000e+002,5.534596e+002,5.527657e+002,-2.645962e+001
1.130000e+001,5.620000e+002,5.530838e+002,5.523889e+002,8.916187e+000
1.131000e+001,5.490000e+002,5.527083e+002,5.520124e+002,-3.708286e+000
1.132000e+001,5.240000e+002,5.523330e+002,5.516362e+002,-2.833304e+001
1.133000e+001,5.300000e+002,5.519581e+002,5.512603e+002,-2.195809e+001
1.134000e+001,5.580000e+002,5.515834e+002,5.508846e+002,6.416589e+000
1.135000e+001,5.500000e+002,5.512090e+002,5.505093e+002,-1.209021e+000
1.136000e+001,5.380000e+002,5.508349e+002,5.501342e+002,-1.283491e+001
1.137000e+001,5.500000e+002,5.504611e+002,5.497594e+002,-4.610917e-001
1.138000e+001,5.760000e+002,5.500876e+002,5.493849e+002,2.591245e+001
1.139000e+001,5.580000e+002,5.497143e+002,5.490106e+002,8.285704e+000
1.140000e+001,5.940000e+002,5.493413e+002,5.486367e+002,4.465868e+001
1.141000e+001,5.460000e+002,5.489686e+002,5.482630e+002,-2.968634e+000
1.142000e+001,5.610000e+002,5.485962e+002,5.478896e+002,1.240377e+001
1.143000e+001,5.510000e+002,5.482241e+002,5.475165e+002,2.775898e+000
1.144000e+001,5.690000e+002,5.478523e+002,5.471437e+002,2.114774e+001
1.145000e+001,5.100000e+002,5.474807e+002,5.467711e+002,-3.748070e+001
1.146000e+001,5.650000e+002,5.471094e+002,5.463989e+002,1.789058e+001
1.147000e+001,5.580000e+002,5.467384e+002,5.460269e+002,1.126157e+001
1.148000e+001,5.350000e+002,5.463677e+002,5.456551e+002,-1.136772e+001
1.149000e+001,5.380000e+002,5.459973e+002,5.452837e+002,-7.997286e+000
1.150000e+001,5.410000e+002,5.456271e+002,5.449126e+002,-4.627137e+000
1.151000e+001,5.540000e+002,5.452573e+002,5.445417e+002,8.742730e+000
1.152000e+001,5.600000e+002,5.448877e+002,5.441711e+002,1.511232e+001
1.153000e+001,5.400000e+002,5.445184e+002,5.438008e+002,-4.518379e+000
1.154000e+001,5.160000e+002,5.441494e+002,5.434307e+002,-2.814935e+001
1.155000e+001,5.390000e+002,5.437806e+002,5.430610e+002,-4.780612e+000
1.156000e+001,5.550000e+002,5.434121e+002,5.426915e+002,1.158785e+001
1.157000e+001,5.690000e+002,5.430440e+002,5.423223e+002,2.595603e+001
1.158000e+001,5.770000e+002,5.426761e+002,5.419534e+002,3.432393e+001
1.159000e+001,5.290000e+002,5.423084e+002,5.415847e+002,-1.330845e+001
1.160000e+001,5.790000e+002,5.419411e+002,5.412164e+002,3.705889e+001
1.161000e+001,5.600000e+002,5.415740e+002,5.408483e+002,1.842595e+001
1.162000e+001,5.670000e+002,5.412073e+002,5.404805e+002,2.579273e+001
1.163000e+001,5.550000e+002,5.408408e+002,5.401129e+002,1.415923e+001
1.164000e+001,5.240000e+002,5.404745e+002,5.397457e+002,-1.647455e+001
1.165000e+001,5.150000e+002,5.401086e+002,5.393787e+002,-2.510861e+001
1.166000e+001,5.420000e+002,5.397429e+002,5.390120e+002,2.257057e+000
1.167000e+001,5.440000e+002,5.393776e+002,5.386456e+002,4.622439e+000
1.168000e+001,5.430000e+002,5.390125e+002,5.382794e+002,3.987543e+000
1.169000e+001,5.260000e+002,5.386476e+002,5.379136e+002,-1.264763e+001
1.170000e+001,5.240000e+002,5.382831e+002,5.375480e+002,-1.428309e+001
1.171000e+001,5.660000e+002,5.379188e+002,5.371827e+002,2.808118e+001
1.172000e+001,5.550000e+002,5.375548e+002,5.368176e+002,1.744517e+001
1.173000e+001,5.410000e+002,5.371911e+002,5.364529e+002,3.808879e+000
1.174000e+001,5.300000e+002,5.368277e+002,5.360884e+002,-6.827689e+000
1.175000e+001,5.430000e+002,5.364645e+002,5.357242e+002,6.535465e+000
1.176000e+001,4.950000e+002,5.361017e+002,5.353602e+002,-4.110166e+001
1.177000e+001,5.480000e+002,5.357391e+002,5.349966e+002,1.226094e+001
1.178000e+001,5.360000e+002,5.353767e+002,5.346332e+002,6.232606e-001
1.179000e+001,5.480000e+002,5.350147e+002,5.342701e+002,1.298530e+001
1.180000e+001,5.110000e+002,5.346529e+002,5.339072e+002,-2.365293e+001
1.181000e+001,5.580000e+002,5.342914e+002,5.335447e+002,2.370856e+001
1.182000e+001,5.260000e+002,5.339302e+002,5.331824e+002,-7.930229e+000
1.183000e+001,5.310000e+002,5.335693e+002,5.328204e+002,-2.569294e+000
1.184000e+001,5.580000e+002,5.332086e+002,5.324586e+002,2.479136e+001
